linkID,taxiID,startTravelTime,travelTime
14,MMC8000GPSANDASYN051113-37651-00000000,2013-01-12 15:19:23,95.0
14,MMC8000GPSANDASYN051113-38145-00000000,2013-01-12 13:59:37,66.0
14,MMC8000GPSANDASYN051113-37904-00000000,2013-01-12 16:27:25,73.0
14,MMC8000GPSANDASYN051113-38307-00000000,2013-01-12 22:13:15,3.0
14,MMC8000GPSANDASYN051113-16579-00000000,2013-01-12 21:48:07,68.0
14,MMC8000GPSANDASYN051113-38348-00000000,2013-01-12 21:02:59,92.0
14,MMC8000GPSANDASYN051113-38005-00000000,2013-01-12 18:35:20,89.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-12 23:59:45,40.0
14,MMC8000GPSANDASYN051113-39641-00000000,2013-01-12 22:29:35,71.0
14,MMC8000GPSANDASYN051113-18730-00000000,2013-01-12 20:52:33,52.0
14,MMC8000GPSANDASYN051113-38278-00000000,2013-01-12 23:39:54,45.0
14,MMC8000GPSANDASYN051113-37827-00000000,2013-01-12 22:46:42,110.0
14,MMC8000GPSANDASYN051113-37606-00000000,2013-01-12 21:07:01,25.0
14,MMC8000GPSANDASYN051113-37808-00000000,2013-01-12 19:06:58,95.0
14,MMC8000GPSANDASYN051113-37802-00000000,2013-01-12 23:21:50,108.0
14,MMC8000GPSANDASYN051113-37623-00000000,2013-01-13 00:50:07,39.0
14,MMC8000GPSANDASYN051113-18047-00000000,2013-01-13 00:24:35,70.0
14,MMC8000GPSANDASYN051113-21208-00000000,2013-01-13 02:36:34,56.0
14,MMC8000GPSANDASYN051113-38291-00000000,2013-01-13 00:59:21,65.0
14,MMC8000GPSANDASYN051113-38049-00000000,2013-01-13 02:31:55,49.0
14,MMC8000GPSANDASYN051113-39669-00000000,2013-01-12 23:59:45,40.0
14,MMC8000GPSANDASYN051113-18196-00000000,2013-01-13 10:52:41,86.0
14,MMC8000GPSANDASYN051113-37625-00000000,2013-01-13 10:09:13,84.0
14,MMC8000GPSANDASYN051113-20971-00000000,2013-01-13 08:54:52,73.0
14,MMC8000GPSANDASYN051113-38353-00000000,2013-01-13 08:37:01,80.0
14,MMC8000GPSANDASYN051113-37984-00000000,2013-01-13 07:51:01,69.0
14,MMC8000GPSANDASYN051113-37984-00000000,2013-01-13 08:27:31,79.0
14,MMC8000GPSANDASYN051113-20385-00000000,2013-01-13 12:49:16,74.0
14,MMC8000GPSANDASYN051113-39684-00000000,2013-01-13 14:35:11,33.0
14,MMC8000GPSANDASYN051113-37796-00000000,2013-01-13 12:02:16,94.0
14,MMC8000GPSANDASYN051113-20283-00000000,2013-01-13 15:58:00,72.0
14,MMC8000GPSANDASYN051113-18688-00000000,2013-01-13 16:56:05,61.0
